编号,训练文件ID,点数,状态,点面P95,0.15内比例,失败门槛,问题部位,修改意见
21,3316,216,REVIEW REQUIRED,0.10841923260941146,1.0,outline,,
22,1296,1230,REVIEW REQUIRED,0.09357039762643445,0.9910569105691057,topology,,
23,2486,1694,REVIEW REQUIRED,0.26885058670946954,0.922668240850059,all_points; topology,,
24,2959,2060,REVIEW REQUIRED,0.17379012357546814,0.9388349514563107,all_points; outline,,
25,1647,2592,REVIEW REQUIRED,2.2585003930427177,0.59375,all_points; each_roof_patch; each_observed_facade; topology,,
26,1339,3131,PROXY PASS,0.061441600638002844,0.9952091983391887,,,
27,2326,3585,REVIEW REQUIRED,0.20053191034650714,0.9419804741980474,all_points,,
28,2289,4227,REVIEW REQUIRED,0.1391150885006907,0.9519753962621245,each_observed_facade,,
29,1161,5197,REVIEW REQUIRED,0.09069557179590435,0.98691552818934,topology,,
30,763,5647,PROXY PASS,0.07734604075524858,0.9925624225252346,,,
31,3465,6087,REVIEW REQUIRED,1.186634806960532,0.7486446525381961,all_points; each_roof_patch,,
32,1475,7096,REVIEW REQUIRED,0.19403194590041256,0.9399661781285231,all_points; each_observed_facade; topology,,
33,2043,7172,PROXY PASS,0.07471996170368565,0.9888455103179029,,,
34,1645,8575,REVIEW REQUIRED,0.6780464311074564,0.7120699708454811,all_points; each_roof_patch; each_observed_facade; outline; topology,,
35,3178,9074,PROXY PASS,0.0014590938982533312,1.0,,,
36,1983,10294,REVIEW REQUIRED,0.08401485895618363,0.9673596269671654,each_roof_patch; each_observed_facade; topology; resolved_partition_adjacency,,
37,1358,12670,REVIEW REQUIRED,1.0022230286432134,0.8679558011049724,all_points; each_observed_facade; topology,,
38,1817,15752,REVIEW REQUIRED,0.37408373807549244,0.8961401726764855,all_points; each_observed_facade; topology,,
39,229,32735,REVIEW REQUIRED,2.3437893178306397,0.8134107224683061,all_points; each_roof_patch; each_observed_facade; outline; topology,,
40,321,41364,REVIEW REQUIRED,0.7151918236911906,0.7757953776230538,all_points; each_observed_facade; outline; topology,,
