id,source,F0_status,F3_status,F3_minus_F0_CD,F3_minus_F0_ECD,F3_minus_F0_NC,F3_minus_F0_p95
point2building_03060_z4cd103de00000004,real_zurich,evaluated,evaluated,0.009952580746729472,0.09404955821279742,-0.01955862698725197,-0.0002601420417400191
point2building_02648_z478b924900000293,real_zurich,evaluated,evaluated,-0.04169988531405111,-0.18038141212475756,-0.009894887136230546,4.848352830322256e-10
point2building_03177_z57b4146355ea0033,real_zurich,evaluated,evaluated,-0.00030599784087637083,0.004147814732444077,0.0009001035529780932,0.0016600436256315604
point2building_01020_z41af1c5900042690,real_zurich,evaluated,evaluated,0.0022386568808837604,-0.00744087913159408,0.005963111399754029,0.00040292681858989515
point2building_02308_z45b11b8c000050a2,real_zurich,evaluated,evaluated,0.00431900139175867,0.013162220393272639,-0.00665615329450453,-1.2882273442427206e-09
point2building_02420_z4631e26b00000002,real_zurich,evaluated,evaluated,-0.019706068941822086,-0.06597591675333236,-0.023789396560739418,-0.001876455418388684
point2building_02926_z478b9252000004a9,real_zurich,evaluated,evaluated,-0.07084071591548113,-0.1251769278755499,-0.009912184160905113,1.0366068003975215e-09
point2building_02762_z478b924b00000309,real_zurich,evaluated,evaluated,0.004262528764028106,0.06755076329188592,-0.0029001467065011832,0.0026425181855179725
point2building_01231_z43d783460000001b,real_zurich,evaluated,evaluated,-0.009222031172673395,-0.30728128273085287,-0.017938210473176563,0.03517500878736585
point2building_02842_z478b924d00000360,real_zurich,evaluated,evaluated,-0.06346848888353906,-0.14730977915858512,-0.0005229372107846686,-7.335354546000872e-11
point2building_03096_z5061a3c42f350000,real_zurich,evaluated,evaluated,-0.008863714791913835,0.00325620831302742,-0.02661452898861083,-0.0013449781738604921
point2building_01226_z434cc37600000036,real_zurich,evaluated,evaluated,-0.02016608427638511,-0.008145083366321249,-0.008795287152909448,0.039169678839022545
point2building_00032_z41aca4f400000f6c,real_zurich,evaluated,evaluated,-0.00804096327340309,0.0020711826440056313,-0.005039149573452639,-1.688363560070627e-09
point2building_01232_z43d783d80000001d,real_zurich,failed,evaluated,,,,
point2building_01234_z43eaf3bb00000000,real_zurich,evaluated,evaluated,-0.017881764354480634,-0.0310662358064544,-0.0017964572433897263,0.010778668027023014
point2building_02073_z45b11b6f00004d43,real_zurich,evaluated,evaluated,0.04493472708811885,0.2262043007449841,-0.04120999456578234,0.029059094970532162
point2building_02062_z45b11b6e00004d35,real_zurich,evaluated,evaluated,0.034970613277715,0.30348453224511296,-0.03757024262306907,0.004822683358782637
point2building_03024_z4b29d97200000000,real_zurich,evaluated,evaluated,0.02278657785984306,0.0883879792203146,-0.015217963113006938,-0.0011303695614129916
point2building_04198_z4cf7a30100000000,real_zurich,evaluated,evaluated,0.0017893261940074012,0.08296117761633387,-0.02680213576012802,0.010714252621683962
point2building_04700_z5cd2c7b8e3ae0027,real_zurich,evaluated,evaluated,0.1895099282371373,0.5246692523051293,-0.07315447942723452,0.08210469145520038
point2building_04435_z5aa795dc967900fa,real_zurich,evaluated,evaluated,0.21225949287184487,0.6618656246310479,-0.044160627366482075,0.7434414810060324
point2building_00612_z41afb9c5000028d4,real_zurich,evaluated,evaluated,0.3319929265437245,0.5573306881856737,-0.058070490176908685,-0.002972072195461861
