id,stratum,point_count,source_coordinate_frame,canonical_origin_source_z,source_units_per_canonical_unit,gt_min_canonical,gt_max_canonical,gt_height_canonical,gt_min_source,gt_max_source,gt_height_source,source_point_restore_max_abs_error,source_mesh_restore_max_abs_error,canonical_zero_is_ground,negative_canonical_point_fraction,negative_source_point_fraction,point_min_canonical,point_min_source,min_base_signed_error_canonical,min_base_signed_error_source,min_base_signed_error_over_gt_height,min_base_abs_error_over_gt_height,min_roof_signed_error_canonical,min_roof_signed_error_source,min_roof_signed_error_over_gt_height,min_roof_abs_error_over_gt_height,point_q001_canonical,point_q001_source,q001_base_signed_error_canonical,q001_base_signed_error_source,q001_base_signed_error_over_gt_height,q001_base_abs_error_over_gt_height,q001_roof_signed_error_canonical,q001_roof_signed_error_source,q001_roof_signed_error_over_gt_height,q001_roof_abs_error_over_gt_height,point_q01_canonical,point_q01_source,q01_base_signed_error_canonical,q01_base_signed_error_source,q01_base_signed_error_over_gt_height,q01_base_abs_error_over_gt_height,q01_roof_signed_error_canonical,q01_roof_signed_error_source,q01_roof_signed_error_over_gt_height,q01_roof_abs_error_over_gt_height,point_q99_canonical,point_q99_source,q99_base_signed_error_canonical,q99_base_signed_error_source,q99_base_signed_error_over_gt_height,q99_base_abs_error_over_gt_height,q99_roof_signed_error_canonical,q99_roof_signed_error_source,q99_roof_signed_error_over_gt_height,q99_roof_abs_error_over_gt_height,point_q999_canonical,point_q999_source,q999_base_signed_error_canonical,q999_base_signed_error_source,q999_base_signed_error_over_gt_height,q999_base_abs_error_over_gt_height,q999_roof_signed_error_canonical,q999_roof_signed_error_source,q999_roof_signed_error_over_gt_height,q999_roof_abs_error_over_gt_height,point_max_canonical,point_max_source,max_base_signed_error_canonical,max_base_signed_error_source,max_base_signed_error_over_gt_height,max_base_abs_error_over_gt_height,max_roof_signed_error_canonical,max_roof_signed_error_source,max_roof_signed_error_over_gt_height,max_roof_abs_error_over_gt_height,point_range_over_gt_height,point_01_99_range_over_gt_height,points_below_gt_base_2pct_fraction,points_above_gt_roof_2pct_fraction,gt_base_below_input_min_2pct,input_min_below_gt_base_2pct,pca_roof_candidate_count,pca_roof_candidate_fraction,pca_roof_max_canonical,pca_roof_max_source,pca_roof_max_abs_error_over_gt_height,pca_roof_q99_canonical,pca_roof_q99_source,pca_roof_q99_abs_error_over_gt_height,translation_canonical_max_abs_error,translation_scale_abs_error,translation_origin_max_abs_error,translation_restored_gt_max_abs_error,partition
point2building_03060_z4cd103de00000004,real_zurich,964,author_world_coordinates; CRS and vertical datum not independently established,430.384994506836,0.7717756712019828,-0.427578270668,0.220278378171,0.6478566488390001,430.05499999999984,430.5550000000002,0.5000000000003866,0.0,1.7053025658242404e-13,False,0.17946058091286307,0.0,-0.4340726539685672,430.049987792969,-0.006494383300567175,-0.0050122070308381795,-0.01002441406166861,0.01002441406166861,-0.6543510321395671,-0.5050122070312246,-1.0100244140616685,1.0100244140616685,-0.2094447709274358,430.2233501281737,0.21813349974056423,0.16835012817391148,0.3367002563475627,0.3367002563475627,-0.4297231490984358,-0.331649871826475,-0.6632997436524373,0.6632997436524373,-0.08420475669543237,430.320007324219,0.34337351397256766,0.2650073242191618,0.5300146484379139,0.5300146484379139,-0.30448313486643236,-0.23499267578122468,-0.46998535156208604,0.46998535156208604,0.3433632330431796,430.649993896484,0.7709415037111796,0.5949938964841616,1.1899877929674032,1.1899877929674032,0.12308485487217963,0.09499389648377507,0.18998779296740326,0.18998779296740326,0.42158274963942194,430.71036181640613,0.849161020307422,0.6553618164063212,1.310723632811629,1.310723632811629,0.20130437146842195,0.1553618164059346,0.310723632811629,0.310723632811629,0.4340726539685672,430.720001220703,0.8616509246365672,0.6650012207031958,1.3300024414053633,1.3300024414053633,0.2137942757975672,0.16500122070280926,0.3300024414053634,0.3300024414053634,1.3400268554670318,0.6599731445294893,0.0,0.16182572614107885,False,False,373,0.3869294605809129,0.4211028675416246,430.709991455078,0.30998291015537893,0.3304329886492049,430.640014648438,0.17002929687548768,2.209898930516374e-13,1.1102230246251565e-16,0.0,1.1368683772161603e-13,selection
point2building_02648_z478b924900000293,real_zurich,916,author_world_coordinates; CRS and vertical datum not independently established,431.395004272461,0.558070733707419,-11.9841515932,7.54563081917,19.52978241237,424.70699999998294,435.6060000000005,10.899000000017573,0.0,1.7053025658242404e-11,False,0.09716157205240175,0.0,-8.359143392347661,426.730010986328,3.6250082008523385,2.0230109863450756,0.18561436703750928,0.18561436703750928,-15.904774211517662,-8.875989013672498,-0.8143856329624908,0.8143856329624908,-8.342781645688174,426.739141998291,3.6413699475118264,2.0321419983080706,0.18645215141800112,0.18645215141800112,-15.888412464858174,-8.866858001709502,-0.8135478485819989,0.8135478485819989,-7.342249394830651,427.297509765625,4.641902198369349,2.590509765642064,0.23768325219175035,0.23768325219175035,-14.887880214000651,-8.30849023437551,-0.7623167478082497,0.7623167478082497,7.726599103164717,435.70699310302723,19.710750696364716,10.999993103044277,1.0092662724127481,1.0092662724127481,0.18096828399471665,0.10099310302670408,0.009266272412748073,0.009266272412748073,8.145990362473471,435.94104309082013,20.130141955673473,11.234043090837194,1.0307407184896853,1.0307407184896853,0.6003595433034707,0.3350430908196189,0.03074071848968517,0.03074071848968517,8.359143392347661,436.059997558594,20.34329498554766,11.35299755861104,1.0416549737216934,1.0416549737216934,0.8135125731776611,0.45399755859346774,0.04165497372169334,0.04165497372169334,0.856040606684184,0.7715830202209978,0.0,0.004366812227074236,True,False,363,0.3962882096069869,7.9469895694802135,435.829986572266,0.020551112236457683,7.830905135585438,435.76520324707036,0.014607142588273166,3.348432642269472e-13,2.1094237467877974e-15,0.0,1.1368683772161603e-13,discovery
point2building_03177_z57b4146355ea0033,real_zurich,1559,author_world_coordinates; CRS and vertical datum not independently established,427.885009765625,0.9853218839855724,-6.63844970048,1.27571533202,7.9141650325,421.3440000000046,429.1420000000002,7.797999999995638,0.0,4.604316927725449e-12,False,0.026940346375881975,0.0,-1.7811487914123192,426.130004882812,4.85730090906768,4.7860048828074,0.613747740806627,0.613747740806627,-3.0568641234323195,-3.0119951171882384,-0.386252259193373,0.386252259193373,-1.733714446449141,426.1767429809567,4.904735254030859,4.832742980952141,0.6197413414920292,0.6197413414920292,-3.009429778469141,-2.9652570190434977,-0.3802586585079708,0.3802586585079708,-1.2576673404510252,426.6458026123047,5.380782360028975,5.301802612300084,0.6798926150683572,0.6798926150683572,-2.533382672471025,-2.4961973876955548,-0.32010738493164287,0.32010738493164287,1.6737607699969015,429.5342028808595,8.312210470476902,8.190202880854903,1.0502953168581024,1.0502953168581024,0.3980454379769014,0.3922028808592628,0.05029531685810235,0.05029531685810235,1.7280321023546046,429.58767761230456,8.366481802834604,8.2436776123,1.0571528099903322,1.0571528099903322,0.4523167703346045,0.445677612304362,0.057152809990332294,0.057152809990332294,1.7811487914123192,429.640014648438,8.41959849189232,8.296014648433424,1.0638644073400954,1.0638644073400954,0.5054334593923191,0.49801464843778515,0.06386440734009537,0.06386440734009537,0.4501166665334684,0.3704027017897452,0.0,0.962796664528544,True,False,766,0.4913406029506094,1.7811487914123192,429.640014648438,0.06386440734009537,1.659335162062562,429.519989013672,0.04847255881918103,1.1612932837579137e-13,4.440892098500626e-16,0.0,0.0,discovery
point2building_01020_z41af1c5900042690,real_zurich,1784,author_world_coordinates; CRS and vertical datum not independently established,432.8450012207035,1.3145299293332782,-3.68572910558,0.862664861402,4.548393966982,428.00000000000387,433.9790000000006,5.978999999996757,0.0,3.865352482534945e-12,False,0.021300448430493273,0.0,-1.137284959305379,431.350006103516,2.548444146274621,3.3500061035121838,0.5602953844311759,0.5602953844311759,-1.9999498207073791,-2.6289938964845736,-0.43970461556882406,0.43970461556882406,-1.0992578350440791,431.399993896484,2.586471270535921,3.399993896480139,0.5686559452219405,0.5686559452219405,-1.9619226964460792,-2.579006103516619,-0.4313440547780595,0.4313440547780595,-0.9014610714839864,431.660003662109,2.784268034096014,3.6600036621051384,0.6121431112405291,0.6121431112405291,-1.7641259328859864,-2.318996337891619,-0.38785688875947094,0.38785688875947094,1.1005483892787546,434.29170501708995,4.786277494858755,6.291705017086139,1.0523005547900235,1.0523005547900235,0.2378835278767546,0.31270501708938114,0.05230055479002353,0.05230055479002353,1.1313226405255021,434.3321586914067,4.817051746105502,6.332158691402809,1.0590665147024994,1.0590665147024994,0.2686577791235021,0.35315869140605266,0.05906651470249944,0.05906651470249944,1.137284959305379,434.339996337891,4.823014064885379,6.339996337887184,1.0603773771350766,1.0603773771350766,0.27462009790337905,0.3609963378904268,0.06037737713507653,0.06037737713507653,0.5000819927039006,0.4401574435494945,0.0,0.9579596412556054,True,False,773,0.43329596412556054,1.1144640416315907,434.309997558594,0.05536001983501601,1.0937752430617609,434.282801513672,0.05081142560153155,1.2989609388114332e-13,0.0,0.0,1.1368683772161603e-13,transfer
point2building_02308_z45b11b8c000050a2,real_zurich,909,author_world_coordinates; CRS and vertical datum not independently established,426.630004882813,0.5416881109541125,-6.70128217586,1.77222851632,8.47351069218,423.00000000000097,427.5899999999974,4.589999999996459,0.0,2.5579538487363607e-12,False,0.0242024202420242,0.0,-2.750642305496751,425.140014648438,3.9506398703632493,2.1400146484370683,0.4662341282001568,0.4662341282001568,-4.522870821816751,-2.4499853515593903,-0.5337658717998433,0.5337658717998433,-2.7339146774715086,425.14907580566376,3.9673674983884917,2.149075805662805,0.46820823652820553,0.46820823652820553,-4.506143193791509,-2.440924194333654,-0.5317917634717946,0.5317917634717946,-1.7338421153506738,425.69080322265603,4.967440060509326,2.690803222655079,0.5862316389231276,0.5862316389231276,-3.506070631670674,-1.8991967773413794,-0.4137683610768725,0.4137683610768725,1.8645595965656332,427.640014648438,8.565841772425633,4.640014648437068,1.0108964375687688,1.0108964375687688,0.09233108024563319,0.05001464844060962,0.010896437568768673,0.010896437568768673,2.298075561909984,427.87484509277385,8.999357737769984,4.8748450927728975,1.0620577544175729,1.0620577544175729,0.5258470455899842,0.2848450927764396,0.06205775441757285,0.06205775441757285,2.750642305496751,428.119995117188,9.451924481356752,5.119995117187068,1.1154673457932502,1.1154673457932502,0.978413789176751,0.5299951171906095,0.11546734579325021,0.11546734579325021,0.6492332175930935,0.42466479864564116,0.0,0.0033003300330033004,True,False,377,0.41474147414741475,1.8276019250842743,427.619995117188,0.006534883919527843,1.8135580099199224,427.61238769531224,0.004877493532646916,3.148592497836944e-13,0.0,0.0,1.1368683772161603e-13,selection
point2building_02420_z4631e26b00000002,real_zurich,245,author_world_coordinates; CRS and vertical datum not independently established,429.934997558594,0.4114496371048402,-0.889531854176,0.32568370299,1.215215557166,429.5690000000001,430.0690000000002,0.5000000000001069,0.0,1.7053025658242404e-13,False,0.5836734693877551,0.0,-0.3767138558867994,429.779998779297,0.5128179982892006,0.21099877929692218,0.4219975585937541,0.4219975585937541,-0.7023975588767994,-0.2890012207031848,-0.578002441406246,0.578002441406246,-0.3589238240375305,429.7873184814455,0.5306080301384695,0.21831848144538737,0.43663696289068143,0.43663696289068143,-0.6846075270275305,-0.2816815185547195,-0.5633630371093186,0.5633630371093186,-0.30380388929143504,429.809997558594,0.585727964884565,0.24099755859391087,0.4819951171877187,0.4819951171877187,-0.629487592281435,-0.25900244140619605,-0.5180048828122814,0.5180048828122814,0.20656587687390499,430.019989013672,1.096097731049905,0.4509890136719221,0.9019780273436515,0.9019780273436515,-0.119117826116095,-0.04901098632818475,-0.09802197265634854,0.09802197265634854,0.36485986721824337,430.085119018555,1.2543917213942435,0.5161190185549773,1.032238037109734,1.032238037109734,0.03917616422824338,0.016119018554870364,0.03223803710973383,0.03223803710973383,0.37671385588693757,430.089996337891,1.2662457100629376,0.5209963378909565,1.04199267578169,1.04199267578169,0.051030152896937575,0.020996337890849478,0.04199267578168998,0.04199267578168998,0.6199951171879359,0.41998291015593286,0.0,0.004081632653061225,True,False,78,0.3183673469387755,0.20656587687390499,430.019989013672,0.09802197265634854,0.20656587687390499,430.019989013672,0.09802197265634854,2.763900219804327e-13,1.6653345369377348e-16,0.0,1.1368683772161603e-13,transfer
point2building_02926_z478b9252000004a9,real_zurich,585,author_world_coordinates; CRS and vertical datum not independently established,435.9500122070315,0.5155794849440392,-11.5152219598,3.70066662597,15.21588858577,430.0129999999815,437.8579999999987,7.845000000017181,0.0,1.8474111129762605e-11,False,0.36923076923076925,0.0,-3.9954994695280734,433.890014648438,7.519722490271926,3.877014648456507,0.49420199470338005,0.49420199470338005,-7.696166095498073,-3.9679853515606736,-0.50579800529662,0.50579800529662,-3.984195914927804,433.89584252929683,7.5310260448721955,3.882842529315351,0.4949448730792667,0.4949448730792667,-7.684862540897804,-3.96215747070183,-0.5050551269207333,0.5050551269207333,-2.3142999309524264,434.756806640625,9.200922028847573,4.743806640643496,0.6046917323942774,0.6046917323942774,-6.014966556922426,-3.101193359373685,-0.3953082676057225,0.3953082676057225,3.377930751188785,437.69160400390604,14.893152710988785,7.6786040039245185,0.9787895479805866,0.9787895479805866,-0.3227358747812148,-0.16639599609266265,-0.021210452019413413,0.021210452019413413,3.9615196708336304,437.99249047851555,15.47674163063363,7.979490478534055,1.01714346443806,1.01714346443806,0.2608530448636306,0.134490478516875,0.01714346443805997,0.01714346443805997,3.9954994695281836,438.010009765625,15.510721429328184,7.9970097656434955,1.0193766431645612,1.0193766431645612,0.29483284355818373,0.15200976562631485,0.019376643164561114,0.019376643164561114,0.5251746484611811,0.37409781558630917,0.0,0.0,True,False,137,0.2341880341880342,3.064486889809052,437.529998779297,0.04181022571076839,2.900016879349992,437.4452014160158,0.052619322368644375,2.2470914018413168e-13,5.551115123125783e-16,0.0,1.1368683772161603e-13,selection
point2building_02762_z478b924b00000309,real_zurich,1195,author_world_coordinates; CRS and vertical datum not independently established,431.3500061035155,0.7302048959738553,-13.303123763,5.56281383332,18.865937596320002,421.6360000000268,435.41199999999685,13.775999999970093,0.0,2.6773250283440575e-11,False,0.059414225941422594,0.0,-6.463940801723303,426.630004882812,6.8391829612766974,4.994004882785214,0.36251487244454533,0.36251487244454533,-12.026754635043304,-8.781995117184877,-0.6374851275554546,0.6374851275554546,-6.1064778750317155,426.89102606201135,7.196645887968285,5.255026061984555,0.38146240287427147,0.38146240287427147,-11.669291708351714,-8.520973937985536,-0.6185375971257284,0.6185375971257284,-4.987387232371711,427.7081915283202,8.315736530628289,6.072191528293418,0.44078045356464873,0.44078045356464873,-10.550201065691711,-7.703808471676673,-0.5592195464353512,0.5592195464353512,6.026520099612629,435.7506005859375,19.329643862612627,14.114600585910724,1.0245790204661271,1.0245790204661271,0.463706266292629,0.338600585940634,0.02457902046612726,0.02457902046612726,6.261991769093223,435.9225431518554,19.565115532093223,14.286543151828592,1.0370603333231423,1.0370603333231423,0.6991779357732231,0.5105431518585012,0.037060333323142396,0.037060333323142396,6.463940801723225,436.070007324219,19.767064564723224,14.434007324192203,1.0477647593077482,1.0477647593077482,0.9011269684032248,0.6580073242221124,0.047764759307748324,0.047764759307748324,0.6852498868632029,0.5837985669014785,0.0,0.02594142259414226,True,False,589,0.4928870292887029,6.053072137049507,435.769989013672,0.0259864266605619,6.011989449899101,435.739990234375,0.023808814922970878,3.1885605267234496e-13,8.881784197001252e-16,1.1368683772161603e-13,2.2737367544323206e-13,transfer
point2building_01231_z43d783460000001b,real_zurich,251,author_world_coordinates; CRS and vertical datum not independently established,435.9200134277345,0.5516105715595759,-20.4800524323,13.0816683804,33.5617208127,424.6229999999834,443.13599999999974,18.513000000016365,0.0,1.659827830735594e-11,False,0.055776892430278883,0.0,-13.995383008843728,428.200012207031,6.484669423456271,3.5770122070476194,0.19321623761921125,0.19321623761921125,-27.077051389243728,-14.935987792968742,-0.8067837623807886,0.8067837623807886,-12.807953301967187,428.855010986328,7.672099130332812,4.2320109863446085,0.2285967150835017,0.2285967150835017,-25.889621682367185,-14.280989013671753,-0.7714032849164981,0.7714032849164981,-8.611175172657962,431.169998168945,11.868877259642037,6.546998168961597,0.35364328682308704,0.35364328682308704,-21.692843553057962,-11.966001831054765,-0.6463567131769129,0.6463567131769129,13.959090137963205,443.619995117188,34.4391425702632,18.99699511720461,1.0261435270992176,1.0261435270992176,0.8774217575632051,0.4839951171882472,0.026143527099217814,0.026143527099217814,13.986309791123674,443.6350097656255,34.46636222342367,19.01200976564211,1.0269545598025875,1.0269545598025875,0.9046414107236735,0.49900976562574667,0.026954559802587673,0.026954559802587673,13.995383008843831,443.640014648438,34.47543544114383,19.01701464845461,1.0272249040370443,1.0272249040370443,0.9137146284438309,0.5040146484382472,0.027224904037044327,0.027224904037044327,0.834008666417833,0.6725002402761306,0.0,0.27091633466135456,True,False,79,0.3147410358565737,13.959090137963205,443.619995117188,0.026143527099217814,13.959090137963205,443.619995117188,0.026143527099217814,4.565237077258644e-13,1.7763568394002505e-15,1.1368683772161603e-13,2.2737367544323206e-13,transfer
point2building_02842_z478b924d00000360,real_zurich,1069,author_world_coordinates; CRS and vertical datum not independently established,426.3600006103515,0.8320784005615048,-4.0765396723,0.718681544005,4.795221216305,422.9679999999986,426.95800000000025,3.9900000000016584,0.0,1.4210854715202004e-12,False,0.042095416276894296,0.0,-1.6705149282934062,424.970001220703,2.4060247440065936,2.0020012207044107,0.5017546919056587,0.5017546919056587,-2.3891964722984063,-1.9879987792972476,-0.49824530809434114,0.49824530809434114,-1.6448558776768043,424.9913515625,2.4316837946231957,2.0233515625013996,0.5071056547620447,0.5071056547620447,-2.363537421681804,-1.9666484375002586,-0.49289434523795517,0.49289434523795517,-1.4979381470513247,425.11359863281297,2.5786015252486756,2.145598632814375,0.5377440182489932,0.5377440182489932,-2.2166196910563247,-1.8444013671872836,-0.4622559817510068,0.4622559817510068,1.6584850935828246,427.739990234375,5.735024765882825,4.7719902343764,1.1959875274121343,1.1959875274121343,0.9398035495778246,0.7819902343747412,0.19598752741213438,0.19598752741213438,1.6705149282934062,427.75,5.7470546005934064,4.7820000000014,1.1984962406013564,1.1984962406013564,0.9518333842884062,0.7919999999997412,0.1984962406013564,0.1984962406013564,1.6705149282934062,427.75,5.7470546005934064,4.7820000000014,1.1984962406013564,1.1984962406013564,0.9518333842884062,0.7919999999997412,0.1984962406013564,0.1984962406013564,0.6967415486956976,0.6582435091631411,0.0,0.9457436856875585,True,False,295,0.27595884003741816,1.6464919351974434,427.730010986328,0.19348646273870465,1.5984092726803176,427.690002441406,0.1834592584976089,2.0583534876550402e-13,4.440892098500626e-16,0.0,1.1368683772161603e-13,transfer
